date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:26	2742/2742	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955b20-ab6%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home3/vector/destination-tag-bg.svg	demo.egenslab.com/html/triprex/preview/assets/img/home3/vector/destination-tag-bg.svg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:27	121544/121544	---M--	200	added ('OK')	image/png	etag:%2265955a77-1dac8%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home3/destination-dropdown-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home3/destination-dropdown-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:28	19104/19104	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955b22-4aa0%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home3/vector/activities-content-tag.svg	demo.egenslab.com/html/triprex/preview/assets/img/home3/vector/activities-content-tag.svg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:29	2444/2444	---M--	200	added ('OK')	image/png	etag:%2265955a95-98c%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home3/testimonial-card-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home3/testimonial-card-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:30	13128/13128	---M--	200	added ('OK')	image/png	etag:%2265955a50-3348%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/home4-testimonial-card-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home4/home4-testimonial-card-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:32	99075/99075	---M--	200	added ('OK')	image/png	etag:%2265955a8e-18303%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home3/testimonial-section-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home3/testimonial-section-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:33	77776/77776	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955b21-12fd0%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home3/vector/teams-section-vector.svg	demo.egenslab.com/html/triprex/preview/assets/img/home3/vector/teams-section-vector.svg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:34	793240/793240	---M--	200	added ('OK')	image/png	etag:%2265955a61-c1a98%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/home4-banner-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home4/home4-banner-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:34	63557/63557	---M--	200	added ('OK')	image/png	etag:%2265955a65-f845%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/banner-slider-btn-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home4/banner-slider-btn-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:35	23718/23718	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955b16-5ca6%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/vector/home4-section-bg.svg	demo.egenslab.com/html/triprex/preview/assets/img/home4/vector/home4-section-bg.svg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:36	83264/83264	---M--	200	added ('OK')	image/png	etag:%2265955a55-14540%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/home4-banner2-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home4/home4-banner2-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:37	27721/27721	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955b17-6c49%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/vector/home4-section-bg2.svg	demo.egenslab.com/html/triprex/preview/assets/img/home4/vector/home4-section-bg2.svg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:39	327921/327921	---M--	200	added ('OK')	image/png	etag:%2265955a46-500f1%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/home4-banner3-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home4/home4-banner3-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:40	10655/10655	---M--	200	added ('OK')	image/png	etag:%2265955a59-299f%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/package-card4-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home4/package-card4-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:41	2142957/2142957	---M--	200	added ('OK')	image/png	etag:%2265955a56-20b2ed%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/package-card-slider-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home4/package-card-slider-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:41	325/325	---M--	200	added ('OK')	image/png	etag:%2265955a46-145%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/hom4-testiomial-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home4/hom4-testiomial-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:44	548509/548509	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955b18-85e9d%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/vector/testi-vector1.svg	demo.egenslab.com/html/triprex/preview/assets/img/home4/vector/testi-vector1.svg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:44	409846/409846	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955b16-640f6%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/vector/testi-vector2.svg	demo.egenslab.com/html/triprex/preview/assets/img/home4/vector/testi-vector2.svg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:46	378709/378709	---M--	200	added ('OK')	image/png	etag:%2265955ab9-5c755%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home5/home5-banner-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home5/home5-banner-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:46	394263/394263	---M--	200	added ('OK')	image/png	etag:%2265955a4d-60417%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home4/activity-counter-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home4/activity-counter-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:46	71590/71590	---M--	200	added ('OK')	image/png	etag:%2265955ac4-117a6%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home5/banner-price-card-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home5/banner-price-card-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:47	7471/7471	---M--	200	added ('OK')	image/png	etag:%2265955ac7-1d2f%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home5/about-img-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home5/about-img-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:49	960/960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955b3a-3c0%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home5/vector/pagination-bg.svg	demo.egenslab.com/html/triprex/preview/assets/img/home5/vector/pagination-bg.svg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:50	112987/112987	---M--	200	added ('OK')	image/png	etag:%2265955abe-1b95b%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home5/visa-application-section-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home5/visa-application-section-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:51	1591325/1591325	---M--	200	added ('OK')	image/png	etag:%2265955abf-18481d%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home5/destination-card-slider-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home5/destination-card-slider-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:54	573910/573910	---M--	200	added ('OK')	image/jpeg	etag:%2265955aca-8c1d6%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home5/home5-banner3-img.jpg	demo.egenslab.com/html/triprex/preview/assets/img/home5/home5-banner3-img.jpg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:54	34387/34387	---M--	200	added ('OK')	image/png	etag:%2265955aef-8653%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/vector/destination-section-vector1.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/vector/destination-section-vector1.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:55	823336/823336	---M--	200	added ('OK')	image/png	etag:%22659559a2-c9028%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/home6-banner-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/home6-banner-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:55	876883/876883	---M--	200	added ('OK')	image/png	etag:%22659559bd-d6153%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/destination-section-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/destination-section-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:55	88077/88077	---M--	200	added ('OK')	image/png	etag:%2265955aef-1580d%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/vector/destination-section-vector2.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/vector/destination-section-vector2.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:56	2870/2870	---M--	200	added ('OK')	image/png	etag:%22659559ab-b36%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/about-video-and-batch-vector.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/about-video-and-batch-vector.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:58	23847/23847	---M--	200	added ('OK')	image/png	etag:%2265955af2-5d27%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/vector/tourpack-section-vector1.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/vector/tourpack-section-vector1.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:24:59	26801/26801	---M--	200	added ('OK')	image/png	etag:%2265955af2-68b1%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/vector/tourpack-section-vector2.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/vector/tourpack-section-vector2.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:01	183295/183295	---M--	200	added ('OK')	image/png	etag:%22659559b9-2cbff%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/home6-banner2-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/home6-banner2-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:01	2852136/2852136	---M--	200	added ('OK')	image/png	etag:%22659559a6-2b8528%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/tourpack-section-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/tourpack-section-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:03	2996488/2996488	---M--	200	added ('OK')	image/png	etag:%22659559af-2db908%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/home6-visa-section-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/home6-visa-section-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:03	678979/678979	---M--	200	added ('OK')	image/png	etag:%22659559a3-a5c43%22	https://demo.egenslab.com/html/triprex/preview/assets/img/home6/home6-testimonial-bg.png	demo.egenslab.com/html/triprex/preview/assets/img/home6/home6-testimonial-bg.png	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
18:25:03	1417/1417	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265955b11-589%22	https://demo.egenslab.com/html/triprex/preview/assets/img/innerpage/icon/arrow.svg	demo.egenslab.com/html/triprex/preview/assets/img/innerpage/icon/arrow.svg	(from https://demo.egenslab.com/html/triprex/preview/assets/css/style.css)
